Vcell	Icell	time
3.998270	2.160000	15.231500
4.000050	2.160000	15.265333
4.000640	2.160000	15.299000
3.999750	2.160000	15.332667
4.001240	2.160000	15.366500
3.999460	2.160000	15.400333
4.000640	2.160000	15.434000
4.001240	2.160000	15.467833
4.000640	2.160000	15.501333
4.001540	2.160000	15.535167
4.002430	2.160000	15.569000
4.003320	2.160000	15.602667
4.004210	2.160000	15.636500
4.003920	2.160000	15.670167
4.003920	2.160000	15.704000
4.003920	2.160000	15.737833
4.005700	2.160000	15.771500
4.003920	2.160000	15.805333
4.004810	2.160000	15.839000
4.006290	2.160000	15.872667
4.006290	2.160000	15.906500
4.006290	2.160000	15.940333
4.007480	2.160000	15.974167
4.008670	2.160000	16.008000
4.007480	2.160000	16.041667
4.008670	2.160000	16.075333
4.009560	2.160000	16.108833
4.009560	2.160000	16.142667
4.010160	2.160000	16.176500
4.008370	2.160000	16.210167
4.009270	2.160000	16.244000
4.010460	2.160000	16.277667
4.010460	2.160000	16.311333
4.010750	2.160000	16.345167
4.011940	2.160000	16.378833
4.013130	2.160000	16.412667
4.012540	2.160000	16.446167
4.012540	2.160000	16.480167
4.014020	2.160000	16.513833
4.013430	2.160000	16.547667
4.014020	2.160000	16.581333
4.015810	2.160000	16.615333
4.014920	2.160000	16.649000
4.014920	2.160000	16.682667
4.014920	2.160000	16.716333
4.014920	2.160000	16.750000
4.017590	2.160000	16.783833
4.016400	2.160000	16.817500
4.018190	2.160000	16.851333
4.018190	2.160000	16.885000
4.017890	2.160000	16.918667
4.018480	2.160000	16.952333
4.017590	2.160000	16.986167
4.019970	2.160000	17.019833
4.018780	2.160000	17.053500
4.019670	2.160000	17.087333
4.020270	2.160000	17.121167
4.019970	2.160000	17.154833
4.021160	2.160000	17.188500
4.021160	2.160000	17.222333
4.023540	2.160000	17.256333
4.023240	2.160000	17.290167
4.023840	2.160000	17.324000
4.023840	2.160000	17.357667
4.023840	2.160000	17.391500
4.023840	2.160000	17.425167
4.023540	2.160000	17.458833
4.025620	2.160000	17.492667
4.025620	2.160000	17.526500
4.025320	2.160000	17.560333
4.024130	2.160000	17.594000
4.026510	2.160000	17.627833
4.027400	2.160000	17.661667
4.026510	2.160000	17.695333
4.027110	2.160000	17.729167
4.027700	2.160000	17.763167
4.027700	2.160000	17.796833
4.028590	2.160000	17.830667
4.028590	2.160000	17.864500
4.029190	2.160000	17.898167
4.028590	2.160000	17.931833
4.030080	2.160000	17.965667
4.029190	2.160000	17.999333
4.030380	2.160000	18.033167
4.031860	2.160000	18.066833
4.033350	2.160000	18.100667
4.031860	2.160000	18.134167
4.032160	2.160000	18.168000
4.033650	2.160000	18.201833
4.033050	2.160000	18.235500
4.032460	2.160000	18.269333
4.033650	2.160000	18.303000
4.034240	2.160000	18.336667
4.033650	2.160000	18.370333
4.034240	2.160000	18.404000
4.035730	2.160000	18.437833
4.036030	2.160000	18.471500
4.036320	2.160000	18.505167
4.036620	2.160000	18.539000
4.037210	2.160000	18.572833
4.037510	2.160000	18.606500
4.038110	2.160000	18.640333
4.037210	2.160000	18.674333
4.039590	2.160000	18.708000
4.037810	2.160000	18.741833
4.038400	2.160000	18.775500
4.039000	2.160000	18.809167
4.039590	2.160000	18.843000
4.039300	2.160000	18.876667
4.041080	2.160000	18.910500
4.042270	2.160000	18.944167
4.041380	2.160000	18.977833
4.041670	2.160000	19.011667
4.042270	2.160000	19.045333
4.042570	2.160000	19.079167
4.042860	2.160000	19.113000
4.043760	2.160000	19.146833
4.042860	2.160000	19.180500
4.043760	2.160000	19.214333
4.044950	2.160000	19.248167
4.045540	2.160000	19.282000
4.045840	2.160000	19.315667
4.044950	2.160000	19.349500
4.046130	2.160000	19.383167
4.046730	2.160000	19.417167
4.047030	2.160000	19.450667
4.047030	2.160000	19.484500
4.047320	2.160000	19.518333
4.047620	2.160000	19.552167
4.047920	2.160000	19.585833
4.048510	2.160000	19.619667
4.048510	2.160000	19.653333
4.049410	2.160000	19.687167
4.050300	2.160000	19.721000
4.050590	2.160000	19.754667
4.051490	2.160000	19.788333
4.052080	2.160000	19.822000
4.052080	2.160000	19.855833
4.052380	2.160000	19.889500
4.050300	2.160000	19.923167
4.052380	2.160000	19.957000
4.052080	2.160000	19.990667
4.053270	2.160000	20.024500
4.052680	2.160000	20.058167
4.054160	2.160000	20.091833
4.054460	2.160000	20.125667
4.055950	2.160000	20.159500
4.054160	2.160000	20.193167
4.055950	2.160000	20.227000
4.055950	2.160000	20.260667
4.056540	2.160000	20.294500
4.057730	2.160000	20.328167
4.056540	2.160000	20.361833
4.057430	2.160000	20.395500
4.057730	2.160000	20.429500
4.058320	2.160000	20.463167
4.059510	2.160000	20.497000
4.059810	2.160000	20.530667
4.058920	2.160000	20.564500
4.060110	2.160000	20.598167
4.059810	2.160000	20.631833
4.060410	2.160000	20.665500
4.063380	2.160000	20.699167
4.061890	2.160000	20.733167
4.061890	2.160000	20.766833
4.061890	2.160000	20.800667
4.061600	2.160000	20.834500
4.063080	2.160000	20.868333
4.063080	2.160000	20.902000
4.063380	2.160000	20.935833
4.063970	2.160000	20.969500
4.065460	2.160000	21.003500
4.064870	2.160000	21.037167
4.065160	2.160000	21.070833
4.065760	2.160000	21.104500
4.066350	2.160000	21.138333
4.066060	2.160000	21.172000
4.067540	2.160000	21.205833
4.067540	2.160000	21.239667
4.068140	2.160000	21.273500
4.069030	2.160000	21.307333
4.067840	2.160000	21.341167
4.068730	2.160000	21.375000
4.069920	2.160000	21.408667
4.071110	2.160000	21.442500
4.070510	2.160000	21.476333
4.071410	2.160000	21.509833
4.071700	2.160000	21.543667
4.070810	2.160000	21.577333
4.071700	2.160000	21.611167
4.071410	2.160000	21.645000
4.072890	2.160000	21.678833
4.072000	2.160000	21.712500
4.073190	2.160000	21.746333
4.073790	2.160000	21.780000
4.073190	2.160000	21.813667
4.075270	2.160000	21.847333
4.074680	2.160000	21.881167
4.075570	2.160000	21.915000
4.075270	2.160000	21.948833
4.076160	2.160000	21.982500
4.076460	2.160000	22.016333
4.076760	2.160000	22.050167
4.077350	2.160000	22.083833
4.078250	2.160000	22.117500
4.078540	2.160000	22.151333
4.079430	2.160000	22.185000
4.079140	2.160000	22.219000
4.079430	2.160000	22.252667
4.079430	2.160000	22.286500
4.080330	2.160000	22.320167
4.080920	2.160000	22.353833
4.080620	2.160000	22.387667
4.081220	2.160000	22.421500
4.081220	2.160000	22.455000
4.081520	2.160000	22.488667
4.083000	2.160000	22.522333
4.082700	2.160000	22.556167
4.081810	2.160000	22.590000
4.083300	2.160000	22.624000
4.084190	2.160000	22.657667
4.085380	2.160000	22.691333
4.084490	2.160000	22.725000
4.084790	2.160000	22.758833
4.085080	2.160000	22.792500
4.086570	2.160000	22.826167
4.087160	2.160000	22.859833
4.086870	2.160000	22.893667
4.085680	2.160000	22.927500
4.087760	2.160000	22.961167
4.086570	2.160000	22.995000
4.089250	2.160000	23.028667
4.088350	2.160000	23.062500
4.089250	2.160000	23.096333
4.089540	2.160000	23.130000
